ev,trans
0.,0.
5.,0.
9.,0.
9.46715,0.0654517
49.1165,0.0322862
85.3052,0.183709
109.787,1.27482
130.268,2.61082
142.951,4.29121
155.455,6.00275
164.119,7.43222
171.568,8.85432
178.845,10.4235
184.036,11.8107
189.65,13.3849
195.7,15.0365
200.989,17.077
206.425,18.8653
212.653,20.5621
217.819,22.3932
223.035,23.8666
227.33,25.5423
233.92,27.1128
239.509,28.6206
244.62,29.8056
248.885,31.3272
254.83,32.5985
259.328,34.0015
266.519,35.4276
270.71,36.8125
275.765,38.107
281.564,39.7217
285.902,2.16627
300.499,3.08285
313.408,4.20176
326.066,5.30728
336.939,6.24463
347.996,7.39001
360.378,9.01144
371.305,10.5679
381.393,11.7913
387.878,12.6808
394.652,13.8801
403.248,15.1444
408.93,15.8871
414.808,13.5025
426.073,14.9709
437.246,16.5166
446.622,17.9336
457.617,19.5129
465.673,20.8361
475.288,22.3222
484.7,23.5919
494.162,25.0954
504.568,26.43
512.968,27.6019
519.294,28.5302
528.313,29.7623
539.609,31.1677
546.708,24.1333
559.36,25.4364
569.472,26.7188
579.578,27.8562
592.469,29.6994
612.171,32.097
631.762,34.3449
653.587,36.8718
674.259,39.0671
693.458,41.0922
711.386,42.7639
732.929,44.6905
755.423,46.7183
778.972,48.6469
808.362,51.1086
837.581,53.2941
865.983,55.0124
904.055,57.3671
947.227,59.7175
987.502,61.605
1040.33,63.7443
1096.01,65.6793
1169.33,67.9121
1230.57,69.4508
1289.85,70.5586
1350.88,71.6514
1401.44,72.5
1449.05,73.1305
1488.77,73.6152
1521.88,74.027
1545.32,74.2775
1558.85,74.2682
1565.25,70.3124
1595.77,70.7
1643.7,71.3452
1696.26,72.029
1745.7,72.6364
1794.72,73.1338
1852.94,73.6933
1903.17,74.1586
1944.7,74.427
1976.5,74.64
1999.88,74.8454
2042.93,75.1479
2109.61,75.569
2193.47,75.9338
2285.56,76.383
2412.86,76.8896
2501.7,77.3871
2582.97,77.7556
2661.98,78.3385
2726.31,78.8812
2801.22,79.5231
2878.97,79.9904
3000.,80.
4000.,80.
5000.,80.
6000.,80.
7000.,80.
8000.,80.
9000.,80.
10000.,80.
20000.,80.
100000.,80.
